Type,Dir,Sx,X1,X2,Y2,X3,Y3,BT,UEB,KH,B1,BH,Rr,CE,Notes
s,T,43.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,44.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,44.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,45.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,45.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,46.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,46.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,47.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,47.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,48.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,48.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,49.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,49.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,50.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,50.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,51.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,51.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,52.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,52.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,53.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,53.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,54.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,54.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,55.000000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,55.500000,82.66667,150,67.33332,150,150,1350,0.0,500.0,1350,500,150,0.000000,
s,T,56.000000,82.66667,150,67.33332,150,150,1313,0.0,500.0,1313,500,150,0.000000,
s,T,56.500000,82.66667,150,67.33332,150,150,1277,0.0,500.0,1277,500,150,0.000000,
s,T,57.000000,82.66667,150,67.33332,150,150,1240,0.0,500.0,1240,500,150,0.000000,
s,T,57.500000,82.66667,150,67.33332,150,150,1204,0.0,500.0,1204,500,150,0.000000,
s,T,58.000000,82.66667,150,67.33332,150,150,1167,0.0,500.0,1167,500,150,0.000000,
s,T,58.500000,82.66667,150,67.33332,150,150,1131,0.0,500.0,1131,500,150,0.000000,
s,T,59.000000,82.66667,150,67.33332,150,150,1093,0.0,500.0,1093,500,150,0.000000,
s,T,59.500000,82.66667,150,67.33332,150,150,1057,0.0,500.0,1057,500,150,0.000000,
s,T,60.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,60.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,61.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,61.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,62.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,62.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,63.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,63.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,64.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,64.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,65.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,65.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,66.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,66.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,67.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,67.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,68.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,68.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,69.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,69.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,70.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,70.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,71.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,71.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,72.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,72.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,73.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,73.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,74.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,74.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
s,T,75.000000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,Start of Curve 1
s,T,75.500000,82.66667,150,67.33332,150,150,850,0.0,500.0,850,500,150,0.000000,
1,L,76.000000,83.6115288155362,151.765950196497,68.0412094679283,151.951601371001,151.698029035093,848.075567093561,0.140370400234378,502.24592640375,849.422670128068,500,150,0.649779110762362,Start Profiles 1
1,L,76.500000,86.4375484743964,157.047808067544,70.1584671150722,157.788731479773,156.776738526485,842.31969633665,0.560210384856092,508.963366157697,847.695908900995,500,150,2.59323194280159,
1,L,77.000000,91.1191361049298,165.797740290346,73.6659187283138,167.458528372152,165.190134894563,832.784513786161,1.25571781795058,520.091485087209,844.835354135848,500,150,5.81275828631963,
1,L,77.500000,97.6138945245927,177.936506123732,78.5318002827011,180.873420870073,176.862025118973,819.556371531831,2.22059407650175,535.529505224028,840.866911459549,500,150,10.2792016121936,
1,L,78.000000,105.863006195398,193.35417502458,84.7120456013773,197.911921629728,191.686706754404,802.755065678342,3.44610109169737,555.137617467158,835.826519703503,500,150,15.9521131180185,
1,L,78.500000,115.791765884649,211.911122195839,92.1506854257018,218.419727349761,209.529925188307,782.532751453252,4.92114048223339,578.738247715734,829.759825435976,500,150,22.7801180387255,
1,L,79.000000,127.310257207093,233.439293050313,100.780354281524,242.211116165859,230.230089471455,759.072565265685,6.63235406297359,606.117665007577,822.721769579705,500,150,30.70138090441,
1,L,79.500000,140.314166921632,257.743725139023,110.522900551347,269.070629576715,253.599735710599,732.586966194655,8.56424481874282,637.027917099885,814.776089858396,500,150,39.6441655319224,
1,L,80.000000,154.685729608185,284.604313761339,121.290094227482,298.755023669582,279.427224770518,703.315811926746,10.6993172476962,671.189075963139,805.994743578024,500,150,49.5274846788516,
